Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
22-06-2010,Z Khan,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Dambulla
16-08-2010,V Kohli,0,FALSE,5,3,0,0,0,2,B,Sri Lanka,Dambulla
16-08-2010,RG Sharma,0,FALSE,3,2,0,0,0,2,B,Sri Lanka,Dambulla
22-08-2010,RA Jadeja,0,FALSE,NA,9,0,0,0,1,B,Sri Lanka,Dambulla
22-08-2010,P Kumar,0,FALSE,NA,1,0,0,0,1,B,Sri Lanka,Dambulla
25-08-2010,KD Karthik,0,FALSE,2,3,0,0,0,1,B,New Zealand,Dambulla
25-08-2010,A Nehra,0,FALSE,12,12,0,0,0,1,B,New Zealand,Dambulla
28-08-2010,KD Karthik,0,FALSE,3,2,0,0,0,2,B,Sri Lanka,Dambulla
28-08-2010,I Sharma,0,FALSE,17,12,0,0,0,2,B,Sri Lanka,Dambulla
20-10-2010,S Dhawan,0,FALSE,1,2,0,0,0,2,B,Australia,Visakhapatnam
20-10-2010,MS Dhoni,0,FALSE,3,1,0,0,0,2,B,Australia,Visakhapatnam
28-11-2010,R Ashwin,0,FALSE,3,2,0,0,0,1,B,New Zealand,Guwahati
28-11-2010,A Nehra,0,FALSE,7,6,0,0,0,1,B,New Zealand,Guwahati
07-12-2010,V Kohli,0,FALSE,3,2,0,0,0,2,B,New Zealand,Bengaluru
10-12-2010,G Gambhir,0,FALSE,1,3,0,0,0,2,B,New Zealand,Chennai
12-01-2011,Harbhajan Singh,0,FALSE,5,4,0,0,0,2,B,South Africa,Durban
15-01-2011,Z Khan,0,FALSE,5,3,0,0,0,1,B,South Africa,Johannesburg
27-02-2011,Harbhajan Singh,0,FALSE,4,1,0,0,0,1,B,England,Bengaluru
12-03-2011,YK Pathan,0,FALSE,4,2,0,0,0,1,B,South Africa,Nagpur
12-03-2011,Z Khan,0,FALSE,3,3,0,0,0,1,B,South Africa,Nagpur
12-03-2011,A Nehra,0,FALSE,2,3,0,0,0,1,B,South Africa,Nagpur
12-03-2011,MM Patel,0,FALSE,1,1,0,0,0,1,B,South Africa,Nagpur
30-03-2011,Yuvraj Singh,0,FALSE,1,1,0,0,0,1,B,Pakistan,Mohali
02-04-2011,V Sehwag,0,FALSE,2,2,0,0,0,2,B,Sri Lanka,Mumbai
11-06-2011,V Kohli,0,FALSE,1,1,0,0,0,2,B,West Indies,North Sound
13-06-2011,I Sharma,0,FALSE,5,3,0,0,0,2,B,West Indies,North Sound
16-06-2011,SK Raina,0,FALSE,2,4,0,0,0,1,B,West Indies,Kingston
16-06-2011,A Mishra,0,FALSE,1,1,0,0,0,1,B,West Indies,Kingston
16-06-2011,I Sharma,0,FALSE,1,2,0,0,0,1,B,West Indies,Kingston
03-09-2011,R Ashwin,0,FALSE,1,1,0,0,0,1,B,England,Chester-le-Street
09-09-2011,AM Rahane,0,FALSE,3,3,0,0,0,1,B,England,The Oval
16-09-2011,RA Jadeja,0,FALSE,2,1,0,0,0,1,B,England,Cardiff
20-10-2011,SK Raina,0,FALSE,5,3,0,0,0,2,B,England,Mohali
25-10-2011,V Kohli,0,FALSE,5,5,0,0,0,1,B,England,Kolkata
02-12-2011,SK Raina,0,FALSE,3,1,0,0,0,2,B,West Indies,Visakhapatnam
05-12-2011,V Sehwag,0,FALSE,3,1,0,0,0,2,B,West Indies,Ahmedabad
05-12-2011,G Gambhir,0,FALSE,1,1,0,0,0,2,B,West Indies,Ahmedabad
11-12-2011,AM Rahane,0,FALSE,1,1,0,0,0,1,B,West Indies,Chennai
11-12-2011,PA Patel,0,FALSE,1,1,0,0,0,1,B,West Indies,Chennai
19-02-2012,RG Sharma,0,FALSE,6,5,0,0,0,2,B,Australia,Brisbane
21-02-2012,V Sehwag,0,FALSE,1,2,0,0,0,2,B,Sri Lanka,Brisbane
21-02-2012,R Vinay Kumar,0,FALSE,4,4,0,0,0,2,B,Sri Lanka,Brisbane
18-03-2012,G Gambhir,0,FALSE,1,2,0,0,0,2,B,Pakistan,Dhaka
24-07-2012,RG Sharma,0,FALSE,5,5,0,0,0,1,B,Sri Lanka,Hambantota
28-07-2012,RG Sharma,0,FALSE,1,1,0,0,0,2,B,Sri Lanka,Colombo (RPS)
31-07-2012,G Gambhir,0,FALSE,3,5,0,0,0,2,B,Sri Lanka,Colombo (RPS)
04-08-2012,SK Raina,0,FALSE,3,1,0,0,0,1,B,Sri Lanka,Pallekele
30-12-2012,V Kohli,0,FALSE,9,5,0,0,0,1,B,Pakistan,Chennai
03-01-2013,B Kumar,0,FALSE,2,2,0,0,0,2,B,Pakistan,Kolkata
03-01-2013,AB Dinda,0,FALSE,2,2,0,0,0,2,B,Pakistan,Kolkata
06-01-2013,R Ashwin,0,FALSE,2,1,0,0,0,1,B,Pakistan,Delhi
19-01-2013,AM Rahane,0,FALSE,14,4,0,0,0,2,B,England,Ranchi
27-01-2013,V Kohli,0,FALSE,1,1,0,0,0,1,B,England,Dharamsala
27-01-2013,Yuvraj Singh,0,FALSE,14,3,0,0,0,1,B,England,Dharamsala
23-06-2013,MS Dhoni,0,FALSE,3,4,0,0,0,1,B,England,Birmingham
02-07-2013,Mohammed Shami,0,FALSE,2,1,0,0,0,2,B,Sri Lanka,Kingston
02-07-2013,UT Yadav,0,FALSE,19,6,0,0,0,2,B,Sri Lanka,Kingston
11-07-2013,R Ashwin,0,FALSE,1,1,0,0,0,2,B,Sri Lanka,Port of Spain
11-07-2013,B Kumar,0,FALSE,21,15,0,0,0,2,B,Sri Lanka,Port of Spain
24-07-2013,SK Raina,0,FALSE,2,2,0,0,0,2,B,Zimbabwe,Harare
03-08-2013,CA Pujara,0,FALSE,2,4,0,0,0,2,B,Zimbabwe,Bulawayo
19-10-2013,Yuvraj Singh,0,FALSE,1,1,0,0,0,1,B,Australia,Mohali
19-10-2013,R Vinay Kumar,0,FALSE,10,1,0,0,0,1,B,Australia,Mohali
30-10-2013,Yuvraj Singh,0,FALSE,2,3,0,0,0,2,B,Australia,Nagpur
02-11-2013,V Kohli,0,FALSE,4,3,0,0,0,1,B,Australia,Bengaluru
21-11-2013,SK Raina,0,FALSE,6,5,0,0,0,2,B,West Indies,Kochi
05-12-2013,Yuvraj Singh,0,FALSE,2,2,0,0,0,2,B,South Africa,Johannesburg
05-12-2013,B Kumar,0,FALSE,8,4,0,0,0,2,B,South Africa,Johannesburg
05-12-2013,Mohammed Shami,0,FALSE,3,4,0,0,0,2,B,South Africa,Johannesburg
08-12-2013,S Dhawan,0,FALSE,9,2,0,0,0,2,B,South Africa,Durban
08-12-2013,V Kohli,0,FALSE,7,5,0,0,0,2,B,South Africa,Durban
19-01-2014,RA Jadeja,0,FALSE,2,3,0,0,0,2,B,New Zealand,Napier
31-01-2014,VR Aaron,0,FALSE,3,1,0,0,0,2,B,New Zealand,Wellington
28-02-2014,STR Binny,0,FALSE,4,4,0,0,0,1,B,Sri Lanka,Fatullah
28-02-2014,B Kumar,0,FALSE,5,0,0,0,NA,1,B,Sri Lanka,Fatullah
02-03-2014,Mohammed Shami,0,FALSE,1,3,0,0,0,1,B,Pakistan,Dhaka
15-06-2014,CA Pujara,0,FALSE,5,5,0,0,0,2,B,Bangladesh,Dhaka
17-06-2014,AM Rahane,0,FALSE,1,1,0,0,0,1,B,Bangladesh,Dhaka
27-08-2014,V Kohli,0,FALSE,1,3,0,0,0,1,B,England,Cardiff
05-09-2014,AM Rahane,0,FALSE,2,3,0,0,0,2,B,England,Leeds
05-09-2014,Mohammed Shami,0,FALSE,2,2,0,0,0,2,B,England,Leeds
08-10-2014,SK Raina,0,FALSE,3,2,0,0,0,2,B,West Indies,Kochi
16-11-2014,R Ashwin,0,FALSE,2,1,0,0,0,2,B,Sri Lanka,Ranchi
18-01-2015,AR Patel,0,FALSE,2,2,0,0,0,1,B,Australia,Melbourne
18-01-2015,B Kumar,0,FALSE,1,1,0,0,0,1,B,Australia,Melbourne
20-01-2015,AR Patel,0,FALSE,2,1,0,0,0,1,B,England,Brisbane
15-02-2015,AM Rahane,0,FALSE,3,1,0,0,0,1,B,Pakistan,Adelaide
22-02-2015,RG Sharma,0,FALSE,13,6,0,0,0,1,B,South Africa,Melbourne
